           1         214
 event,miss,iscat,jscat=           1           0          16          13
    21    1.891   -0.881   -163.324  0.000    -0.00     0.00    -0.01     0.01
     1    0.192    0.411   -317.488  0.010     0.00     0.00    -0.00     0.00
    21    2.267   -0.748   -211.953  0.000    -0.00    -0.00    -0.01     0.01
     1   -0.184    0.278   -268.859  0.010     0.00     0.00    -0.01     0.01
 event,miss,iscat,jscat=           1           0          26          25
    21    1.444   -0.236    -37.412  0.000    -0.00    -0.00    -0.02     0.02
    -1   -0.377   -1.300    -49.526  0.010     0.00    -0.00    -0.01     0.01
    21    0.236    0.046     -1.000  0.000     0.00    -0.00    -0.03     0.03
    -1    0.831   -1.583    -85.939  0.010     0.00    -0.00    -0.03     0.03
 event,miss,iscat,jscat=           1           0          41          33
    -1   -2.629    0.429     14.916  0.010    -0.00    -0.00     0.10     0.11
    21   -4.642    1.514     48.050  0.000    -0.00     0.00     0.04     0.04
    -1   -2.652    0.532     15.099  0.010    -0.01    -0.00     0.15     0.15
    21   -4.618    1.410     47.867  0.000    -0.01     0.00     0.15     0.15
 event,miss,iscat,jscat=           1           0          43          42
    21   -2.984    4.290     -0.474  0.000     0.00     0.00     0.10     0.13
    21   -2.821    1.236      5.691  0.000     0.00     0.00     0.05     0.11
    21   -3.012    4.429     -0.377  0.000    -0.01     0.02     0.10     0.16
    21   -2.792    1.096      5.594  0.000    -0.02     0.01     0.10     0.16
 event,miss,iscat,jscat=           1           0          45          43
    21    0.062   -1.072      0.823  0.000     0.00     0.00    -0.02     0.13
    21   -3.012    4.429     -0.377  0.000    -0.01     0.02     0.10     0.16
    21   -0.040   -0.911      1.195  0.000     0.00    -0.02    -0.01     0.16
    21   -2.910    4.268     -0.749  0.000    -0.02     0.02     0.10     0.16
 event,miss,iscat,jscat=           1           0          60          38
    21   -1.156   -1.908      2.139  0.000     0.04    -0.02     0.31     0.32
     2    1.961   -2.290     20.949  0.006     0.00    -0.00     0.06     0.07
    21   -0.657   -1.993      1.689  0.000     0.03    -0.03     0.33     0.34
     2    1.462   -2.205     21.400  0.006     0.03    -0.03     0.33     0.34
 event,miss,iscat,jscat=           1           0          60          37
    21   -0.657   -1.993      1.689  0.000     0.03    -0.03     0.33     0.34
    21   -1.880   -1.625     13.412  0.000     0.00     0.00     0.03     0.06
    21   -0.944   -1.868      1.621  0.000     0.02    -0.05     0.34     0.36
    21   -1.593   -1.749     13.481  0.000    -0.04    -0.04     0.33     0.36
 event,miss,iscat,jscat=           1           0          60          47
    21   -0.944   -1.868      1.621  0.000     0.02    -0.05     0.34     0.36
    21    0.955   -2.165      5.196  0.000     0.01    -0.00     0.11     0.14
    21   -1.094   -1.973      4.656  0.000     0.01    -0.07     0.36     0.39
    21    1.105   -2.060      2.161  0.000     0.05    -0.10     0.33     0.39
 event,miss,iscat,jscat=           1           0          69          63
    21   -0.344    1.100      0.116  0.000    -0.11     0.08    -0.38     0.48
    -3   -4.296    2.298     -5.579  0.199    -0.10     0.09    -0.14     0.35
    21   -2.464    1.402     -0.635  0.000    -0.15     0.19    -0.37     0.59
    -3   -2.177    1.996     -4.828  0.199    -0.24     0.17    -0.32     0.59
 event,miss,iscat,jscat=           1           0          31           5
    21   -0.415    0.152     24.290  0.000     0.00     0.00     0.04     0.04
     3   -0.191    0.072      9.627  0.199     0.00     0.00     0.00     0.00
    21   -0.010   -0.001      6.882  0.000    -0.01     0.00     0.63     0.63
     3   -0.596    0.225     27.035  0.199    -0.01     0.00     0.63     0.63
 event,miss,iscat,jscat=           1           0          89          86
    21    0.388    0.215     -0.506  0.000    -0.35     0.25    -0.53     0.87
    21   -0.507    0.211     -2.642  0.000    -0.21     0.32    -0.48     0.85
    21    0.400    0.538     -1.613  0.000    -0.25     0.31    -0.67     1.05
    21   -0.520   -0.112     -1.535  0.000    -0.25     0.33    -0.68     1.05
 event,miss,iscat,jscat=           1           0          90          81
    21   -1.538   -1.507      4.448  0.000    -0.03    -0.04    -0.14     0.90
    -2    0.081    0.694     -2.740  0.006     0.00     0.00     0.31     0.80
    21   -2.390   -3.022      3.146  0.000    -0.08    -0.08    -0.00     1.06
    -2    0.933    2.209     -1.438  0.006     0.01     0.06     0.06     1.06
 event,miss,iscat,jscat=           1           0          81          77
    -2    0.933    2.209     -1.438  0.006     0.01     0.06     0.06     1.06
    21   -0.011    0.558      1.109  0.000    -0.00     0.07    -0.40     0.69
    -2    0.772    2.950     -1.091  0.006     0.04     0.15     0.00     1.16
    21    0.150   -0.184      0.762  0.000    -0.01     0.28     0.02     1.16
 event,miss,iscat,jscat=           1           0          90          80
    21   -2.390   -3.022      3.146  0.000    -0.08    -0.08    -0.00     1.06
    21    0.673   -0.889      1.002  0.000    -0.43     0.09    -0.16     0.77
    21   -0.919   -0.785     -0.012  0.000    -0.19    -0.23     0.15     1.30
    21   -0.798   -3.126      4.159  0.000    -0.20    -0.23     0.20     1.30
 event,miss,iscat,jscat=           1           0         110         101
    21   -0.757   -0.405      2.844  0.000    -0.01    -0.01     1.45     1.45
    21    0.008   -0.110     12.375  0.000    -0.06     0.01     1.20     1.20
    21   -1.101    0.147      6.427  0.000    -0.04    -0.02     1.57     1.58
    21    0.352   -0.662      8.792  0.000    -0.06     0.00     1.57     1.58
 event,miss,iscat,jscat=           1           0         115         101
    21   -3.894    2.342     40.545  0.000    -0.01     0.03     1.67     1.67
    21    0.352   -0.662      8.792  0.000    -0.06     0.00     1.57     1.58
    21   -1.976    2.748     34.368  0.000    -0.01     0.03     1.69     1.70
    21   -1.565   -1.068     14.969  0.000    -0.05    -0.01     1.69     1.70
 event,miss,iscat,jscat=           1           0         110         101
    21   -1.101    0.147      6.427  0.000    -0.04    -0.02     1.57     1.58
    21   -1.565   -1.068     14.969  0.000    -0.05    -0.01     1.69     1.70
    21   -1.781   -0.131     14.972  0.000    -0.07    -0.02     1.73     1.74
    21   -0.886   -0.790      6.423  0.000    -0.06    -0.01     1.74     1.74
 event,miss,iscat,jscat=           1           0         108          44
    21    1.444   -0.910     -5.166  0.000     0.03    -0.10    -1.38     1.38
    21    1.263   -1.375     -9.286  0.000     0.01     0.01    -0.10     0.13
    21    2.630   -1.861    -13.232  0.000     0.34    -0.29    -2.49     2.56
    21    0.077   -0.424     -1.220  0.000     0.33    -0.35    -2.48     2.56
 event,miss,iscat,jscat=           1           0         131          32
    21    1.327    0.460     14.384  0.000     0.00     0.00     2.89     2.89
    21    1.812    0.348     72.813  0.000     0.00     0.00     0.04     0.04
    21    2.479    0.648     37.635  0.000     0.09     0.03     3.79     3.80
    21    0.660    0.160     49.562  0.000     0.09     0.02     3.80     3.80
 event,miss,iscat,jscat=           1           0         197          31
    21   -3.595   -2.621    908.298  0.000    -0.07     0.08    47.04    47.04
    21   -0.010   -0.001      6.882  0.000    -0.01     0.00     0.63     0.63
    21   -1.566   -1.022    361.170  0.000    -0.14     0.03    65.46    65.46
    21   -2.039   -1.600    554.009  0.000    -0.11    -0.00    65.46    65.46
           2         200
 event,miss,iscat,jscat=           2           0          12           9
    21    0.787    0.398  -1065.560  0.000     0.00     0.00    -0.00     0.00
  2103    0.347    0.072   -331.229  0.771     0.00     0.00     0.00     0.00
    21    1.125    0.246   -649.000  0.000     0.00     0.00    -0.00     0.00
  2103    0.009    0.223   -747.789  0.771     0.00     0.00    -0.00     0.00
 event,miss,iscat,jscat=           2           0          55          47
    21    2.355   -0.460      3.528  0.000     0.00     0.00     0.28     0.28
