       1       0     214    0.0000    0    0    0    0
    -1    -0.772     0.082   -22.547  0.010     0.00     0.00     0.00     0.00    0   112
    -2     0.253    -0.467     7.260  0.006     0.00     0.00     0.00     0.00    0   337
     1     0.032    -0.191    83.282  0.010     0.00     0.00     0.00     0.00  335     0
    -2    -0.145     0.245    68.325  0.006     0.00     0.00     0.00     0.00    0   184
     3    -0.596     0.225    27.035  0.199    -0.01     0.00     0.63     0.63  337     0
     3    -0.192     0.226   -28.077  0.199     0.00     0.00     0.00     0.00  214     0
     1    -0.563     0.344  -587.804  0.010     0.00     0.00     0.00     0.00  340     0
     2     0.562    -0.514    -6.250  0.006     0.00     0.00     0.00     0.00  184     0
    -3    -0.209    -0.217   134.116  0.199     0.00     0.00     0.00     0.00    0   335
     2    -3.495     3.270  1386.180  0.006    -0.00     0.00     0.00     0.00  116     0
    21    -0.247     0.403  -481.563  0.000     0.00     0.00    -0.00     0.00  118   322
     2    -1.307    -4.499  -834.505  0.006    -0.00    -0.00    -0.00     0.00  222     0
     1    -0.184     0.278  -268.859  0.010     0.00     0.00    -0.01     0.01  202     0
     2    -1.995     3.017   267.969  0.006    -0.00     0.00     0.00     0.00  148     0
    21     0.803    -0.942   138.283  0.000     0.00    -0.00     0.00     0.00  190   114
    21     2.267    -0.748  -211.953  0.000    -0.00    -0.00    -0.01     0.01  331   182
     2     4.071    -6.007   424.121  0.006     0.00    -0.00     0.01     0.01  273     0
    21   167.879   125.542  -236.133  0.000     0.00     0.00    -0.01     0.01  281   128
     1    -2.810    -1.704  -116.910  0.010     0.00     0.00    -0.01     0.01  195     0
    21  -261.243    88.513   155.270  0.000    -0.01     0.00     0.00     0.01  107   234
    21    -2.479    -0.402    66.112  0.000    -0.00     0.00     0.01     0.01  155   291
    21     1.214     0.132  -137.834  0.000     0.00     0.00    -0.01     0.01  182   256
    21    -0.549    -0.504   -91.243  0.000     0.00     0.00    -0.01     0.01  323   240
    21    15.360  -112.282   142.600  0.000     0.00    -0.01     0.01     0.01  257   109
    -1     0.831    -1.583   -85.939  0.010     0.00    -0.00    -0.03     0.03    0   222
    21     0.236     0.046    -1.000  0.000     0.00    -0.00    -0.03     0.03  167   127
    21   -51.967     0.789   122.683  0.000    -0.00     0.00     0.02     0.02  129   247
    21    -2.046     0.322   -56.362  0.000     0.00     0.00    -0.02     0.02  327   132
    21     1.802     0.949    36.138  0.000     0.00     0.00     0.03     0.03  334   111
    -2   -10.600    22.795   -48.023  0.006    -0.00     0.01    -0.03     0.03    0   260
    21    -2.039    -1.600   554.009  0.000    -0.11    -0.00    65.46    65.46  237   155
    21     0.660     0.160    49.562  0.000     0.09     0.02     3.80     3.80  218   334
    21    -4.618     1.410    47.867  0.000    -0.01     0.00     0.15     0.15  263   251
    -3    -3.430    -3.508   -33.567  0.199    -0.00    -0.00    -0.04     0.04    0   154
    21     4.702    -2.578    11.123  0.000     0.00     0.00     0.02     0.04  131   283
    21     0.105     1.844   -27.599  0.000    -0.00     0.00    -0.06     0.06  272   290
    21    -1.593    -1.749    13.481  0.000    -0.04    -0.04     0.33     0.36  304   192
     2     1.462    -2.205    21.400  0.006     0.03    -0.03     0.33     0.34  112     0
     2    15.637     0.932    17.361  0.006     0.03     0.01     0.04     0.07  110     0
    21    32.206  -228.163   291.115  0.000    -0.00    -0.06     0.05     0.08  109   157
    -1    -2.652     0.532    15.099  0.010    -0.01    -0.00     0.15     0.15    0   195
    21    -2.792     1.096     5.594  0.000    -0.02     0.01     0.10     0.16  159   173
    21    -2.910     4.268    -0.749  0.000    -0.02     0.02     0.10     0.16  163   104
    21     0.077    -0.424    -1.220  0.000     0.33    -0.35    -2.48     2.56  259   172
    21    -0.040    -0.911     1.195  0.000     0.00    -0.02    -0.01     0.16  198   169
    21    -6.755   -16.112     5.111  0.000    -0.03    -0.11     0.05     0.13  231   179
    21     1.105    -2.060     2.161  0.000     0.05    -0.10     0.33     0.39  146   301
